Symbol,Name
BYDNR.IS,BAYDÖNER RESTORANLARI A.Ş.
BAYRK.IS,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.
BERA.IS,BERA HOLDİNG A.Ş.
BRKSN.IS,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.
BJKAS.IS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.
BEYAZ.IS,BEYAZ FİLO OTO KİRALAMA A.Ş.
BIENY.IS,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.
BLCYT.IS,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.
BIMAS.IS,BİM BİRLEŞİK MAĞAZALAR A.Ş.
BIOEN.IS,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.
BRKVY.IS,BİRİKİM VARLIK YÖNETİM A.Ş.
BRKO.IS,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.
BRLSM.IS,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.
BRMEN.IS,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.
BIZIM.IS,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.
BMSTL.IS,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.
BMSCH.IS,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.
BOBET.IS,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.
BORLS.IS,BORLEASE OTOMOTİV A.Ş.
BRSAN.IS,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.
BRYAT.IS,BORUSAN YATIRIM VE PAZARLAMA A.Ş.
BFREN.IS,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
BOSSA.IS,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.
BRISA.IS,BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.
BURCE.IS,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.
BURVA.IS,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.
BUCIM.IS,BURSA ÇİMENTO FABRİKASI A.Ş.
BVSAN.IS,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.
BIGCH.IS,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.
CRFSA.IS,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.
CASA.IS,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.
CEOEM.IS,CEO EVENT MEDYA A.Ş.
CCOLA.IS,COCA-COLA İÇECEK A.Ş.
CONSE.IS,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.
COSMO.IS,COSMOS YATIRIM HOLDİNG A.Ş.
CRDFA.IS,CREDITWEST FAKTORİNG A.Ş.
CVKMD.IS,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.
CWENE.IS,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.
CANTE.IS,ÇAN2 TERMİK A.Ş.
CATES.IS,ÇATES ELEKTRİK ÜRETİM A.Ş.
CLEBI.IS,ÇELEBİ HAVA SERVİSİ A.Ş.
CELHA.IS,ÇELİK HALAT VE TEL SANAYİİ A.Ş.
CEMAS.IS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.
CEMTS.IS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.
CMBTN.IS,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.
CMENT.IS,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.
CIMSA.IS,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
CUSAN.IS,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.
DAGHL.IS,DAGİ YATIRIM HOLDİNG A.Ş.
DAPGM.IS,DAP GAYRİMENKUL GELİŞTİRME A.Ş.
DARDL.IS,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.
DGATE.IS,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.
DMSAS.IS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.
DENGE.IS,DENGE YATIRIM HOLDİNG A.Ş.
DZGYO.IS,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
DERIM.IS,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.
DERHL.IS,DERLÜKS YATIRIM HOLDİNG A.Ş.
DESA.IS,DESA DERİ SANAYİ VE TİCARET A.Ş.
DESPC.IS,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.
DEVA.IS,DEVA HOLDİNG A.Ş.
DNISI.IS,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.
DIRIT.IS,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.
DITAS.IS,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.
DMRGD.IS,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.
DOCO.IS,DO & CO AKTIENGESELLSCHAFT
DOFER.IS,DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.
DOBUR.IS,DOĞAN BURDA DERGİ YAYINCILIK VE PAZARLAMA A.Ş.
DOHOL.IS,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.
DGNMO.IS,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.
ARASE.IS,DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.
DOGUB.IS,DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.
DGGYO.IS,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
DOAS.IS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.
DOKTA.IS,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.
DURDO.IS,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.
DYOBY.IS,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.
EDATA.IS,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.
EBEBK.IS,EBEBEK MAĞAZACILIK A.Ş.
ECZYT.IS,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.
EDIP.IS,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.
EGEEN.IS,EGE ENDÜSTRİ VE TİCARET A.Ş.
EGGUB.IS,EGE GÜBRE SANAYİİ A.Ş.
EGPRO.IS,EGE PROFİL TİCARET VE SANAYİ A.Ş.
EGSER.IS,EGE SERAMİK SANAYİ VE TİCARET A.Ş.
EPLAS.IS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.
ECILC.IS,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.
EKIZ.IS,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.
EKOS.IS,EKOS TEKNOLOJİ VE ELEKTRİK A.Ş.
EKSUN.IS,EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.
ELITE.IS,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.
EMKEL.IS,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.
EMNIS.IS,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.
EKGYO.IS,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ENJSA.IS,ENERJİSA ENERJİ A.Ş.
ENERY.IS,ENERYA ENERJİ A.Ş.
ENKAI.IS,ENKA İNŞAAT VE SANAYİ A.Ş.
ENSRI.IS,ENSARİ DERİ GIDA SANAYİ VE TİCARET A.Ş.
