,Code,Name
74,AYES.IS,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.
75,AYGAZ.IS,AYGAZ A.Ş.
76,AZTEK.IS,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.
77,BAGFS.IS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.
78,BAKAB.IS,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.
79,BALAT.IS,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.
80,BNTAS.IS,BANTAŞ BANDIRMA AMBALAJ SANAYİ TİCARET A.Ş.
81,BANVT.IS,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.
82,BARMA.IS,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.
83,BASGZ.IS,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
84,BASCM.IS,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.
85,BEGYO.IS,BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
86,BTCIM.IS,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.
87,BSOKE.IS,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.
88,BYDNR.IS,BAYDÖNER RESTORANLARI A.Ş.
89,BAYRK.IS,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.
90,BERA.IS,BERA HOLDİNG A.Ş.
91,BRKT.IS,BEREKET VARLIK KİRALAMA A.Ş.
92,BRKSN.IS,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.
93,BJKAS.IS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.
94,BEYAZ.IS,BEYAZ FİLO OTO KİRALAMA A.Ş.
95,BIENF.IS,BİEN FİNANS FAKTORİNG A.Ş.
96,BIENY.IS,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.
97,BLCYT.IS,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.
98,BLKOM.IS,BİLKOM BİLİŞİM HİZMETLERİ A.Ş.
99,BIMAS.IS,BİM BİRLEŞİK MAĞAZALAR A.Ş.
100,BIOEN.IS,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.
101,BRKVY.IS,BİRİKİM VARLIK YÖNETİM A.Ş.
102,BRKO.IS,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.
103,BRLSM.IS,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.
104,BRMEN.IS,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.
105,BIZIM.IS,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.
106,BMSTL.IS,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.
107,BMSCH.IS,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.
108,BNPPI.IS,BNP PARIBAS ISSUANCE B.V.
109,BNPFK.IS,BNP PARİBAS FİNANSAL KİRALAMA A.Ş.
110,BOBET.IS,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.
111,BORLS.IS,BORLEASE OTOMOTİV A.Ş.
112,BRSAN.IS,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.
113,BRYAT.IS,BORUSAN YATIRIM VE PAZARLAMA A.Ş.
114,BFREN.IS,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
115,BOSSA.IS,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.
116,BRISA.IS,BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.
117,BURCE.IS,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.
118,BURVA.IS,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.
119,BUCIM.IS,BURSA ÇİMENTO FABRİKASI A.Ş.
120,BVSAN.IS,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.
121,BIGCH.IS,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.
122,CRFSA.IS,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.
123,CASA.IS,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.
124,CEOEM.IS,CEO EVENT MEDYA A.Ş.
125,CREAN.IS,CEREAN ENERJİ A.Ş.
126,CCOLA.IS,COCA-COLA İÇECEK A.Ş.
127,CONSE.IS,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.
128,COSMO.IS,COSMOS YATIRIM HOLDİNG A.Ş.
129,CRDFA.IS,CREDITWEST FAKTORİNG A.Ş.
130,CVKMD.IS,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.
131,CWENE.IS,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.
132,CAGFA.IS,ÇAĞDAŞ FAKTORİNG A.Ş.
133,CLDNM.IS,ÇALIK DENİM TEKSTİL SANAYİ VE TİCARET A.Ş.
134,CANTE.IS,ÇAN2 TERMİK A.Ş.
135,CATES.IS,ÇATES ELEKTRİK ÜRETİM A.Ş.
136,CLEBI.IS,ÇELEBİ HAVA SERVİSİ A.Ş.
137,CELHA.IS,ÇELİK HALAT VE TEL SANAYİİ A.Ş.
138,CLKMT.IS,ÇELİK MOTOR TİCARET A.Ş.
139,CEMAS.IS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.
140,CEMTS.IS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.
141,CMBTN.IS,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.
142,CMENT.IS,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.
143,CIMSA.IS,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
144,CUSAN.IS,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.
145,DAGHL.IS,DAGİ YATIRIM HOLDİNG A.Ş.
146,DAPGM.IS,DAP GAYRİMENKUL GELİŞTİRME A.Ş.
147,DARDL.IS,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.
148,DGATE.IS,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.
149,DGRVK.IS,DEĞER VARLIK KİRALAMA A.Ş.
150,DMSAS.IS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.
151,DENGE.IS,DENGE YATIRIM HOLDİNG A.Ş.
152,DENFA.IS,DENİZ FAKTORİNG A.Ş.
153,DNFIN.IS,DENİZ FİNANSAL KİRALAMA A.Ş.
154,DZGYO.IS,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
155,"DZY, DZYMK.IS",DENİZ YATIRIM MENKUL KIYMETLER A.Ş.
156,DERIM.IS,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.
157,DERHL.IS,DERLÜKS YATIRIM HOLDİNG A.Ş.
158,DESA.IS,DESA DERİ SANAYİ VE TİCARET A.Ş.
159,DESPC.IS,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.
160,DTYGD.IS,DETAY GIDA SANAYİ VE TİCARET A.Ş.
161,DEVA.IS,DEVA HOLDİNG A.Ş.
162,DNISI.IS,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.
163,DIRIT.IS,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.
164,DITAS.IS,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.
165,DMRGD.IS,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.
166,DOCO.IS,DO & CO AKTIENGESELLSCHAFT
167,DOFER.IS,DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.
168,DOBUR.IS,DOĞAN BURDA DERGİ YAYINCILIK VE PAZARLAMA A.Ş.
169,DOHOL.IS,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.
170,DTRND.IS,DOĞAN TREND OTOMOTİV TİCARET HİZMET VE TEKNOLOJİ A.Ş.
171,DGNMO.IS,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.
172,ARASE.IS,DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.
173,DOGUB.IS,DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.
