Symbol,Name,Market_id
BEGYO.IS,BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
BTCIM.IS,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,1
BSOKE.IS,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,1
BYDNR.IS,BAYDÖNER RESTORANLARI A.Ş.,1
BAYRK.IS,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,1
BERA.IS,BERA HOLDİNG A.Ş.,1
BRKSN.IS,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,1
BJKAS.IS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,1
BEYAZ.IS,BEYAZ FİLO OTO KİRALAMA A.Ş.,1
BIENY.IS,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,1
BLCYT.IS,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,1
BIMAS.IS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,1
BIOEN.IS,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,1
BRKVY.IS,BİRİKİM VARLIK YÖNETİM A.Ş.,1
BRKO.IS,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,1
BRLSM.IS,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,1
BRMEN.IS,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,1
BIZIM.IS,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,1
BMSTL.IS,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,1
BMSCH.IS,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,1
BOBET.IS,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,1
BORLS.IS,BORLEASE OTOMOTİV A.Ş.,1
BRSAN.IS,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,1
BRYAT.IS,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,1
BFREN.IS,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,1
BOSSA.IS,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,1
BRISA.IS,BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,1
BURCE.IS,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,1
BURVA.IS,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,1
BUCIM.IS,BURSA ÇİMENTO FABRİKASI A.Ş.,1
BVSAN.IS,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,1
BIGCH.IS,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,1
CRFSA.IS,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,1
CASA.IS,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.,1
CEOEM.IS,CEO EVENT MEDYA A.Ş.,1
CCOLA.IS,COCA-COLA İÇECEK A.Ş.,1
CONSE.IS,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,1
COSMO.IS,COSMOS YATIRIM HOLDİNG A.Ş.,1
CRDFA.IS,CREDITWEST FAKTORİNG A.Ş.,1
CVKMD.IS,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,1
CWENE.IS,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,1
CANTE.IS,ÇAN2 TERMİK A.Ş.,1
CATES.IS,ÇATES ELEKTRİK ÜRETİM A.Ş.,1
CLEBI.IS,ÇELEBİ HAVA SERVİSİ A.Ş.,1
CELHA.IS,ÇELİK HALAT VE TEL SANAYİİ A.Ş.,1
CEMAS.IS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,1
CEMTS.IS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,1
CMBTN.IS,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,1
CMENT.IS,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,1
CIMSA.IS,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,1
CUSAN.IS,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,1
DAGHL.IS,DAGİ YATIRIM HOLDİNG A.Ş.,1
DAPGM.IS,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,1
DARDL.IS,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,1
DGATE.IS,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,1
DMSAS.IS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,1
DENGE.IS,DENGE YATIRIM HOLDİNG A.Ş.,1
DZGYO.IS,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
DERIM.IS,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,1
DERHL.IS,DERLÜKS YATIRIM HOLDİNG A.Ş.,1
DESA.IS,DESA DERİ SANAYİ VE TİCARET A.Ş.,1
DESPC.IS,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,1
DEVA.IS,DEVA HOLDİNG A.Ş.,1
DNISI.IS,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,1
DIRIT.IS,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,1
DITAS.IS,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,1
DMRGD.IS,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,1
DOCO.IS,DO & CO AKTIENGESELLSCHAFT,1
DOFER.IS,DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.,1
DOBUR.IS,DOĞAN BURDA DERGİ YAYINCILIK VE PAZARLAMA A.Ş.,1
DOHOL.IS,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,1
